iso3,country_label,disponibilite_volaille_kg_hab_an,log_population_2017,part_importations_poulet,log_production_poulet,ease_business_score,political_stability,log_gdp_per_capita,log_distance_france,langue_officielle_commune_france,log_evenements_sanitaires,signal_maturite_bio_import
KWT,Koweït,1.8599007700697814,-0.35253675405044527,1.2332022568817056,-0.037183416781162104,-0.08022214439596674,0.00857548001499837,1.250783246658755,-0.012620352099991305,-0.47967540647319123,-0.5194246442940337,-0.5735312413843243
LBN,Lebanon,-0.5518871227321684,-0.06975249415641477,-0.7155172485761984,0.3146241957028376,-0.6804910782333444,-1.8023350208445632,0.5183586464550297,-0.3787154753397427,2.08474311274887,-0.5194246442940337,-0.5267379615770614
LBR,Liberia,-0.5566414215915358,-0.27208567201294814,1.4161344786410832,-0.6405866470486741,-1.5495255717400265,-0.34672974483719404,-1.8058852492480093,0.10373864725215991,-0.47967540647319123,-0.5194246442940337,-0.3512631622998255
LKA,Sri Lanka,-0.7529260459282757,0.5458143816440674,-0.8829659534223802,0.4902561109575588,-0.2285638317373073,-0.014347437717401147,0.12193766988443717,0.7336997504647027,-0.47967540647319123,-0.5194246442940337,-0.3512631622998255
LSO,Lesotho,-0.7427382626582028,-0.7129771500871126,1.9655688663223756,-2.010483195996038,-0.3408298433348139,-0.1518849441117982,-1.3903932200681608,0.8018636420755773,-0.47967540647319123,-0.5194246442940337,-0.3512631622998255
LTU,Lithuania,0.6332916643529914,-0.5454751413753802,-0.2305648446281077,0.3001666329261448,1.440565623523994,0.9598765659095781,0.8863577948151158,-1.0946255120535957,-0.47967540647319123,1.0995073716992867,1.2911809589351018
LUX,Luxembourg,-0.0363852892664744,-1.399508523420855,2.030352046404912,-2.228424907714061,0.5491500725933797,1.5902568035505646,2.0804000033355616,-3.1011077301437244,2.08474311274887,-0.5194246442940337,-0.3512631622998255
LVA,Latvia,0.13748621187610507,-0.7507972001640421,0.6533432771800362,-0.24804349350964267,1.388770591843015,0.5931098821911859,0.7075785947423661,-1.0917608651077038,-0.47967540647319123,-0.5194246442940337,2.68094136921081
MAR,Maroc,0.1422405107354725,0.829553002037577,-0.8838952778459863,0.9043631164539839,0.5187281679720693,-0.3581912037033938,-0.35261206604000533,-1.0194599904211932,2.08474311274887,-0.5194246442940337,-0.568851913403598
MDG,Madagascar,-1.086406151635332,0.6497019414788527,-0.8861147239520956,-0.08944321966957437,-1.32363296360174,-0.2779609916399955,-1.873347976413298,0.7648374399676624,2.08474311274887,-0.5194246442940337,-0.3512631622998255
MDV,Maldives,-0.3644319105628251,-1.495128432074016,-0.5403327523789444,0.1459761733280179,-0.7733296153798609,0.32949632826859154,0.464451194401227,0.7024327136991261,-0.47967540647319123,-0.5194246442940337,0.21114904138133034
MEX,Mexico,0.9273790080824323,1.5126020177034976,-0.2906320642912313,1.6302390980540238,0.7870708649425152,-0.7593422640203853,0.4973203213717286,0.8208289738529784,-0.47967540647319123,0.5598633663681798,-0.4284720739818093
MKD,Macédoine du Nord,0.0587006879208738,-0.7154642389731598,1.9998787279796042,-1.4688381056698396,1.4162397204812658,-0.22065369730899675,0.33466839696951883,-1.1136227996395407,-0.47967540647319123,-0.5194246442940337,-0.3512631622998255
MLI,Mali,-1.089122893840685,0.4738715900580015,-0.8551410934063576,-0.098788050522056,-0.7995075602048028,-2.1232558690981564,-1.3946497394649928,-0.08567649970415823,2.08474311274887,-0.5194246442940337,-0.3512631622998255
MLT,Malta,0.564014738116495,-1.5632061032220121,0.8902397069258506,-1.15558971916456,0.19614445298430738,1.4985651326209666,1.2348425446182878,-1.0602180894953004,-0.47967540647319123,-0.5194246442940337,-0.48930333773125106
MMR,Myanmar,0.7813541145447191,1.0503899654860174,-0.8860757384202909,1.3386621197811581,-1.5985421372527426,-1.1719547832035768,-0.8525375348078407,0.7814615368980662,-0.47967540647319123,-0.5194246442940337,-0.4898957797282242
